Tub,TreatComp,TreatHydro,Block,Species,NumMetas,AvgDays,Npossible,IndivMetaWt
2GE,G,Drying,2,PSRE,8,47.88,10,0.150
3GE,G,Drying,3,PSRE,4,41.25,10,0.110
4GE,G,Drying,4,PSRE,4,47,10,0.155
5GE,G,Drying,5,PSRE,1,40,10,0.110
1GE,G,Drying,1,RACA,5,46.8,10,0.415
2GE,G,Drying,2,RACA,3,50.33,10,0.200
3GE,G,Drying,3,RACA,4,51.5,10,0.200
4GE,G,Drying,4,RACA,3,48.33,10,0.250
5GE,G,Drying,5,RACA,2,46,10,0.150
1GP,G,Permanent,1,ANBO,6,61,10,0.245
2GP,G,Permanent,2,ANBO,8,49.63,10,0.195
3GP,G,Permanent,3,ANBO,5,63.2,10,0.130
4GP,G,Permanent,4,ANBO,2,45,10,0.160
5GP,G,Permanent,5,ANBO,9,45.22,10,0.170
1GP,G,Permanent,1,PSRE,5,53.2,10,0.175
2GP,G,Permanent,2,PSRE,6,46.5,10,0.160
3GP,G,Permanent,3,PSRE,4,47.75,10,0.140
4GP,G,Permanent,4,PSRE,8,47.63,10,0.140
5GP,G,Permanent,5,PSRE,6,42.83,10,0.130
1GP,G,Permanent,1,RACA,6,50,10,0.290
2GP,G,Permanent,2,RACA,7,49.71,10,0.300
3GP,G,Permanent,3,RACA,6,56,10,0.170
4GP,G,Permanent,4,RACA,2,59,10,0.120
5GP,G,Permanent,5,RACA,2,56,10,0.390
